cruise,cast,niskin,date_time_utc,latitude,longitude,depth,replicate,POC_micromolar,PON_micromolar,POC_microg_perL,PON_microg_perL,C_to_N_molar_ratio,C_quality_flag,N_quality_flag
AR66B,6,21,2022-04-21 15:43:07+00:00,39.9398,-70.8815,4.22,a,6.71,1.315,80.595,18.412,5.105,1,1
AR66B,8,11,2022-04-22 02:21:27+00:00,39.7733,-70.882,83.04,a,10.911,2.208,131.053,30.933,4.941,1,1
AR66B,8,19,2022-04-22 02:28:37+00:00,39.7733,-70.882,3.98,a,12.685,2.559,152.359,35.838,4.958,1,1
AR66B,15,12,2022-04-23 15:29:31+00:00,40.0982,-70.8847,35.12,a,15.302,2.691,183.783,37.688,5.687,1,1
AR66B,15,15,2022-04-23 15:33:24+00:00,40.0982,-70.8847,23.14,a,18.111,3.127,217.531,43.8,5.792,1,1
AR66B,15,20,2022-04-23 15:37:18+00:00,40.0982,-70.8847,4.22,a,30.795,3.917,369.868,54.867,7.861,1,1
AR66B,19,9,2022-04-24 14:28:15+00:00,40.2265,-70.8832,34.96,a,8.752,1.733,105.123,24.278,5.05,1,1
AR66B,19,14,2022-04-24 14:33:02+00:00,40.2265,-70.8832,16.98,a,29.89,4.289,358.997,60.073,6.969,1,1
AR66B,19,20,2022-04-24 14:37:23+00:00,40.2265,-70.8832,3.09,a,30.081,3.972,361.289,55.633,7.573,1,1
AR66B,19,20,2022-04-24 14:37:23+00:00,40.2265,-70.8832,3.09,b,27.264,3.587,327.466,50.244,7.601,1,1
AR66B,20,15,2022-04-24 22:24:25+00:00,40.134,-70.77,12,a,34.235,4.168,411.192,58.387,8.213,1,1
AR66B,20,18,2022-04-24 22:26:12+00:00,40.134,-70.77,2.83,a,33.651,4.211,404.175,58.979,7.992,1,1
AR66B,22,8,2022-04-25 21:22:53+00:00,40.3617,-70.876,22.04,a,13.571,2.525,162.994,35.373,5.374,1,1
AR66B,22,14,2022-04-25 21:27:46+00:00,40.3617,-70.876,3.18,a,19.057,2.648,228.888,37.091,7.197,1,1
EN687,1,3,2022-07-29 19:22:10+00:00,41.1897,-70.8755,16.01,a,27.173,3.449,326.364,48.313,7.878,1,1
EN687,1,10,2022-07-29 19:24:44+00:00,41.1898,-70.8749,13.29,a,29.082,3.24,349.297,45.389,8.975,1,1
EN687,1,15,2022-07-29 19:26:48+00:00,41.1896,-70.8744,3.47,a,19.641,2.602,235.899,36.447,7.548,1,1
EN687,2,8,2022-07-30 03:05:31+00:00,41.0266,-70.8831,25.18,a,12.251,1.868,147.142,26.165,6.558,1,1
EN687,2,10,2022-07-30 03:07:02+00:00,41.0264,-70.8829,13.46,a,38.357,4.534,460.692,63.503,8.46,3,3
EN687,2,16,2022-07-30 03:09:12+00:00,41.0262,-70.8826,3.01,a,13.291,1.957,159.637,27.407,6.793,1,1
EN687,5,8,2022-07-30 11:53:00+00:00,40.7023,-70.885,30.32,a,NaN,NaN,NaN,NaN,NaN,9,9
EN687,5,14,2022-07-30 11:55:00+00:00,40.7028,-70.8852,15.99,a,12.123,2.411,145.609,33.774,5.028,1,1
EN687,5,19,2022-07-30 11:57:47+00:00,40.7034,-70.8854,2.92,a,8.428,1.501,101.226,21.024,5.615,1,1
EN687,6,8,2022-07-30 14:19:55+00:00,40.5158,-70.893,33.39,a,8.7,1.95,104.497,27.314,4.462,1,1
EN687,6,8,2022-07-30 14:19:55+00:00,40.5158,-70.893,33.39,b,9.396,1.82,112.856,25.498,5.162,1,1
EN687,6,15,2022-07-30 14:26:32+00:00,40.5167,-70.8951,3,a,5.959,1.029,71.575,14.412,5.791,1,1
EN687,7,6,2022-07-31 06:52:57+00:00,39.9187,-70.8964,39.49,a,10.317,1.996,123.911,27.96,5.168,1,1
EN687,7,8,2022-07-31 06:55:04+00:00,39.9184,-70.8972,30.77,a,21.083,3.161,253.222,44.272,6.67,1,1
EN687,7,19,2022-07-31 07:01:35+00:00,39.9178,-70.8997,3.32,a,5.045,0.966,60.598,13.534,5.222,1,1
EN687,10,9,2022-07-31 16:23:31+00:00,39.7816,-70.8916,37.36,a,9.259,1.531,111.204,21.449,6.046,1,1
EN687,10,13,2022-07-31 16:26:12+00:00,39.7821,-70.892,23.07,a,12.437,2.01,149.38,28.149,6.189,1,1
EN687,10,19,2022-07-31 16:30:15+00:00,39.783,-70.8927,2.77,a,4.288,0.709,51.503,9.937,6.044,1,1
EN687,13,12,2022-08-01 08:02:33+00:00,40.0895,-70.8796,32.02,a,21.11,3.208,253.55,44.94,6.58,1,1
EN687,13,19,2022-08-01 08:07:33+00:00,40.0889,-70.8786,3.45,a,6.064,1.08,72.835,15.132,5.613,1,1
EN687,16,9,2022-08-01 13:41:56+00:00,40.1445,-70.7735,36.36,a,16.335,2.848,196.197,39.889,5.736,1,1
EN687,16,13,2022-08-01 13:44:33+00:00,40.1448,-70.7736,19.29,a,14.898,2.607,178.935,36.518,5.714,1,1
EN687,16,19,2022-08-01 13:47:19+00:00,40.1452,-70.7737,2.71,a,5.258,1.028,63.156,14.395,5.116,1,1
EN687,18,10,2022-08-02 03:41:21+00:00,40.3591,-70.8784,19.13,a,12.866,2.17,154.525,30.401,5.928,1,1
EN687,18,19,2022-08-02 03:47:15+00:00,40.3587,-70.877,3.32,a,5.348,0.801,64.233,11.218,6.678,1,1
EN687,21,10,2022-08-02 11:15:17+00:00,40.2273,-70.8723,31.67,a,9.428,1.313,113.239,18.392,7.18,1,1
EN687,21,18,2022-08-02 11:20:10+00:00,40.2269,-70.8706,2.92,a,4.803,0.625,57.688,8.748,7.691,1,1
EN687,22,7,2022-08-02 21:22:17+00:00,40.8632,-70.877,23.74,a,25.433,3.372,305.472,47.23,7.543,1,1
EN687,22,14,2022-08-02 21:27:02+00:00,40.8634,-70.8755,3.21,a,8.179,0.989,98.236,13.85,8.271,1,1
EN687,26,1,2022-08-03 08:01:41+00:00,41.3183,-70.5758,15.35,a,31.242,4.014,375.243,56.223,7.783,1,1
EN687,26,5,2022-08-03 08:05:14+00:00,41.3182,-70.5755,3.01,a,14.058,1.527,168.85,21.389,9.206,1,1
AR61B,7,17,2021-11-09 16:34:08+00:00,39.9398,-70.8835,23.76,a,NaN,1.056,NaN,14.789,NaN,4,1
